,phrase,translation
3098,лёпгуӈкве,нашептать  что-либо
3099,каргалтахтуӈкве,вдруг зарычать
3100,каргалтаӈкве,вынуждать рычать
3101,ргалтахтуӈкве,вдруг запеть
3102,ргалтаӈкве,просить петь
3103,рӈхалтахтуӈкве,вдруг закричать
3104,рӈхалтаӈкве,начать кричать на кого-либо
3105,пусгалтахтуӈкве,вдруг начать пыхтеть
3106,пусгалтаӈкве,вынуждать пыхтеть
3107,от пусгуӈкве,пыхтеть
3108,путгалтахтуӈкве,"вдруг сработать, издавая ритмичные звуки (о сердце, о машине)"
3109,путгалтаӈкве,"добиться работы с ритмичным звуком (сердце, машину)"
3110,ломырмахтасаӈкве,вдруг неожиданно сморщиться или съёжиться
3111,ломырмахтуӈкве,быстро съёжиться
3112,ломырмаӈкве,сморщиться
3113,ломари,морщина
3114,хотрохтуӈкве,вдруг неожиданно испугаться
3115,осьмарлапуӈкве,похитрить немного и перестать
3116,При других глагольных основах он выражает значение,"вдруг, неожиданно"
3117,мӯрмапаӈкве,нырнуть быстро
3118,лēӈктасаптуӈкве,вдруг неожиданно  что-либо натолкнуть на другой предмет
3119,лēӈк,деревянный гвоздь
3120,лēӈктуӈкве,заострённой частью подводить  что-либо  куда-либо
3121,лēӈктасаӈкве,вдруг наткнуть  что-либо острой частью на  что-либо
3122,восьлатаптуӈкве,"вдруг, неожиданно сделать повреждение, вмятину (на жестяном предмете)"
3123,восьлуӈкве,погнуться в нескольких местах (о жестяном предмете)
3124,восьлатаӈкве,"вдруг, неожиданно погнуться (о жестяном предмете)"
3125,ломыртахтыгпаӈкве,"вдруг, неожиданно сморщиться"
3126,ломыртаӈкве,сморщить
3127,ломыртахтуӈкве,сморщиться
3128,ломыртахтыгпāптуӈкве,"сделать так, чтобы  что-либо вдруг сморщилось"
3129,впсатаӈкве,вдруг мелькнуть
3130,впсуӈкве,мелькать
3131,куратаптуӈкве,"вдруг, неожиданно проткнуть  что-либо"
3132,куратаӈкве,"вдруг, неожиданно провалиться"
3133,ломырмаптыгллуӈкве,"иногда вдруг, неожиданно заставлять сморщиться"
3134,ломырмаптыглаӈкве,заставлять вдруг сморщиться один раз
3135,ломырмаптуӈкве,вдруг сморщить  что-либо
3136,смлыгныгтахтапаӈкве,за короткое время сделаться синим (от удара)
3137,смлыгныгтахтуӈкве,посинеть
3138,вртумтахтуӈкве,вдруг соскочить с места
3139,вртумтаӈкве,"быстро, за короткое время подставить  что-либо для опоры"
3140,лмтахтлатуӈкве,"быстро, за короткое время перетаскать груз с одного места на другое"
3141,лмуӈкве,поднять  что-либо
3142,лмтаӈкве ,нести  что-либо на себе
3143,лмтахтуӈкве,переносить груз с одного места на другое
3144,Глагол паттапахтуӈкве,шмыгнуть  куда-либо
3145,сӈлатлуӈкве,звякнуть (один раз)
3146,сйкалаӈкве,"проснуться, очнуться"
3147,сйк,трезвый
3148,саквалаӈкве,сломаться
3149,сакв,крошка
3150,ротамлаӈкве,успокоиться
3151,ротам,спокойный
3152,ввиньтаӈкве,звать один раз
3153,ввуӈкве,звать
3154,лвсаӈкве,сказать (один раз)
3155,лвуӈкве,"говорить, сказать  что-либо"
3156,нӈхуӈкве,визжать
3157,воськасаӈкве,кинуть
3158,ксалaӈкве,увидеть
3159,нхквллаӈкве,встать с постели на время
3160,от нхквлуӈкве,встать (после сна)
3161,конквллаӈкве,выйти на время
3162,конквлуӈкве,"выйти, оказаться на улице"
3163,войлаӈкве,взять на время
3164,майлаӈкве,дать на время
3165,ёхталаӈкве,прийти на время
3166,от ёхтуӈкве,прийти
3167,нглалаӈкве,показываться на время
3168,юввāнтталаӈкве,привести домой на время
3169,юввāнттуӈкве,вести домой
3170,масталаӈкве,"надеть, одеть  что-либо на кого-либо ненадолго"
3171,мастуӈкве,одеть  что-либо на кого-либо
3172,ӈкмалаӈкве,побелеть на время
3173,ӈкмуӈкве,побелеть
3174,ӈxыгплуӈкве,повернуться  куда-либо на короткое время
3175,ювсялтаплуӈкве,войти на время
3176,ювсялтапаӈкве,быстро войти в помещение
3177,рӈхувллуӈкве,крикнуть (один раз)
3178,от рӈхувлаӈкве,крикнуть
3179,лмалуӈкве,взять на самое короткое время
3180,нрптлуӈкве,покрасить охрой на время
3181,нрптаӈкве,покрасить охрой
3182,тртлуӈкве,отпустить ненадолго
3183,трматаӈкве ,быстро отпустить
3184,уртытлуӈкве,дать долю один раз
3185,уртытаӈкве,дать долю
3186,урты,доля
3187,тгылтлуӈкве,нарядить один раз
3188,тгылтаӈкве,нарядить кого-либо
3189,пялтлуӈкве,закипеть на время
3190,марлтлуӈкве,довести ненадолго до предельного состояния
3191,марлтаӈкве,довести до предeльного состояния
3192,маpуӈкве,дойти до предельного состояния
3193,румаллуӈкве,обрести друга на время
3194,румалаӈкве,приобрести друга
3195,осилмлуӈкве,"оказаться на время далеко от родных мест (о человеке, о животном)"
3196,мртмыгтлуӈкве,начать мерить и перестать мерить
3197,мртмыгтаӈкве,начать мерить
3198,атмыгтлуӈквe,начать собирать и перестать собирать
3199,атмыгтаӈкве,начать собирать
3200,от атуӈкве,собирать
3201,лаквантлуӈкве,доходить  куда-либо на время
3202,лаквантаӈкве,медленно двигаться  куда-либо
3203,тӯлмантлуӈкве,украсть  что-либо (а затем  что-либо с тем предметом случится)
3204,тӯлмантаӈкве,воровать
3205,тӯлмах,вор
3206,атхатмыгтлуӈкве,начинать собирать и перестать собирать
3207,ломырмахтаслуӈкве,сморщиться ненадолго
3208,тлсаӈкве,сесть (на транспорт) на время
3209,нхлльсаӈкве,встать (на ноги) ненадолго
3210,нхллюӈкве,"встать на ноги, занять вертикальное положение"
3211,ёлвгылссаӈкве,спуститься на время от куда-либо
3212,нхлапыглаӈкве,подняться на время (в воздух)
3213,нхлапуӈкве,подняться (в воздух)
3214,ялтыглаӈкве,ожить на время
3215,ёлисыглаӈкве,приземлиться ненадолго с полета
3216,ёлисуӈкве,приземлиться
3217,хиглаӈкве,причалить на время
3218,лаквхатыглаӈкве,подкрадываться  куда-либо на время
3219,от лаквхатуӈкве,подкрадываться
3220,хōнтхатыглаӈкве,видеться один раз
3221,новхатыглаӈкве,трогать  что-либо один раз
3222,новхатуӈкве,трогать  что-либо запретное или кого-либо
3223,новуӈкве,трогать  что-либо или кого-либо
3224,тлматыглаӈкве,садиться (на транспорт) на самое короткое время
3225,тлматуӈкве,быстро сесть (на транспорт)
3226,номылматыглаӈкве,вспомнить  что-либо на самое короткое врeмя
3227,акванмрмтапыглаӈкве,сморщить  что-либо на самое короткое время
3228,мрмтапаӈкве,"быстро, неожиданно сморщить"
3229,мрмтаӈкве,делать складки
3230,мрм,складка
3231,акванлаквасаптыглаӈкве,сдвинуть два или более предметов на самое короткое время
3232,акванлаквасаптуӈкве,быстро сдвинуть два или более предметов вместе
3233,акванлаквтуӈкве,сдвинуть
3234,акванлаквуӈкве,сдвигаться
3235,Ам Саранпвылныл тах лēккар тотыглгум,"Я из Саранпауля (ненадолго, на некоторое время) привезу врача"
3236,Ань ӈклмтэ тармыл слыянэ ёт та тотыглаве,И на той льдине его вместе с оленями и носит (тудасюда)
3237,сусхатыглаӈкве,помучиться (некоторое время)
3238,акванломыртнтыглаӈкве,поморщить (на некоторое время)
3239,пинтлаӈкве,положить  что-либо на время
3240,хйтгаллуӈкве,разбежаться на некоторое время
3241,хйтгалаӈкве,разбежаться
3242,войгаллуӈкве,разбирать (предметы) иногда
3243,войгалаӈкве,"разобрать, растаскать"
3244,ялаплуӈкве,быстро сходить  куда-либо на время
3245,тратлуӈкве,вздрогнуть один раз
3246,тōргуӈкве,дрожать
3247,ювсялтмыгтаӈкве,начать входить
3248,от ювсялтуӈкве,входить
3249,ювтртмыгтаӈкве,начать впускать
3250,ювтртуӈкве,впускать
3251,конссмыгтаӈкве,начать выливать
3252,конссуӈкве,"вылить, лить на улице"
3253,врмыгтаӈкве,начать делать
3254,тисмыгтаӈкве,начать искать
3255,тинсуӈкве,искать
3256,тӯймыгтаӈкве,начать падать (о снеге)
3257,от тӯюӈкве,идти (о снеге)
3258,тахмыгтаӈкве,"начать, хотеть делать  что-либо"
3259,мртхатмыгтаӈкве,начать сравнивать друг с другом по росту
3260,мртхатуӈкве,сравниваться друг с другом
3261,марылтапмыгтаӈкве,начать ощущать тесноту (одежды)
3262, тагталапмыгтаӈкве,начать вешать
3263,тыпгалапмыгтаӈкве,начать блуждать
3264,тыпуӈкве,заблудиться
3265,сӈкамлапмыгтаӈкве,начать приходить в чувства
3266,сӈкам,разумный (о человеке)
3267,томыртапмыгтаӈкве,начать барахтаться
3268,томрых,бултых (междометие)
3269,нрптапмыгтаӈкве,начать покрывать  что-либо краской
3270,тисмаяӈкве,начать искать
3271,тахмаяӈкве,вдруг захотеть делать  что-либо
3272,лмаяӈкве,начать жить где-либо
3273,от луӈкве,быть
3274,ӯралтаӈкве,вдруг начать ждать
3275,талалтаӈкве,вдруг начать плыть (о рыбах)
3276,талуӈкве,плыть (о рыбах)
3277,сальгалтаӈкве,вдруг начать плевать
3278,сальгуӈкве,плевать
3279,внтталтаӈкве,вдруг начать вести кого-либо за руку или за веревку
3280,внт,"группа животных, двигающихся один за другим"
3281,лттумтаӈкве,начать говорить
3282,лттуӈкве,говорить
3283,овмлаӈкве,начать течь
3284,овуӈкве,течь
3285,втумлаӈкве,начать дуть (о ветре)
3286,втуӈкве,дуть (о ветре)
3287,нглалаӈкве патуӈкве,"начать появляться, начать показываться"
3288,ритлахтуӈкве патуӈкве,"начать бороться, начать меряться силами"
3289,номсаӈкве патуӈкве,"начать думать, начать беспокоиться о чем-либо"
3290,нвлуӈкве патуӈкве,"начать гнать кого-либо, начать догонять кого-либо"
3291,лаквтуӈкве патуӈкве,начать двигаться
3292,сатапнтуӈкве,смеркаться
3293,сатапаӈкве,потемнеть (о сумерках)
3294,турманлнтуӈкве,"темнеть,  наступать (о ночи)"
3295,турманлаӈкве,потемнеть (о ночи)
3296,харыглнтуӈкве,"гаснуть постепенно, потухать (о костре, пожаре)"
3297,харыглаӈкве,гаснуть
3298,тянтаӈкве,"ровно, спокойно гореть"
3299,мантaӈкве,спокойно идти
3300,от муӈкве,идти
3301,пйтахтантаӈкве,кипеть спокойно
3302,ӯнлантаӈкве,посиживать
3303,от ӯнлуӈкве,сидеть
3304,орвиньтнтуӈкве,"беспрерывно, долго выть"
3305,орвиньтаӈкве,выть
3306,янмалтнтуӈкве,длительно долго выращивать
3307,янмалтаӈкве,"растить, воспитывать"
3308,майгалаӈкве,"раздaвaть, разбазарить"
3309,ӯнлуӈкве,сидеть
3310,поклуӈкве,потрескаться
3311,покапаӈкве,треснуть
3312,рмпгуӈкве,колыхаться
3313,рмпатаӈкве,колыхнуться
3314,каратлуӈкве,зарычать (один раз)
3315,яласаӈкве,"ездить, путешествовать"
3316,хасьсаӈкве,"разглядывать, рассматривать в целях разгадывания, распознания"
3317,вӈксаӈкве,ползать
3318,вӈкуӈкве,ползти
3319,письгасаӈкве,"попискивать долго, негромко"
3320,пйксяӈкве,"молиться, кланяться"
3321,пйкуӈкве,"просить, умолять"
3322,хйтыгтаӈкве,бегать (тудасюда)
3323,мыгтаӈкве,похаживать тудасюда спокойно
3324,нарыгтаӈкве,сталкивать
3325,сартлантаӈкве,"намазывать  что-либо долго, намазывать чем-либо многие предметы"
3326,сартлуӈкве,тереть  что-либо о предмет или тереть чем-либо
3327,нёсрантаӈкве,насмехаться над чем-либо долго
3328,нёсруӈкве,насмехаться над кем-либо
3329,юнгасьлаӈкве,потаптывать
3330,юнгуӈкве,топтать
3331,йӣквасьлаӈкве,потанцовывать
3332,ёнгасьлаӈкве,спокойно играть
3333,ёнгуӈкве,играть
3334,ргасьлаӈкве,напевать песню
3335,поргасьлаӈкве,поскакивать
3336,нильталаӈкве,натирать
3337,нилюӈкве,"очищать  что-либо от кожуры, смывать (например берег)"
3338,пēргаллуӈкве,вертеться по сторонам
3339,пēрыглаӈкве,повернуться в какуюлибо сторону
3340,нргаллуӈкве,переливаться тудасюда
3341,нрыглаӈкве,литься (о густой жидкой массе)
3342,тыпгалаӈкве,блуждать
3343,ӯргалаӈкве,оберегать
3344,хасьгалаӈкве,распознавать
3345,нёсарлуӈкве,ползать (о червяке)
3346,нёсыр,морщина
3347,лпаллуӈкве,обманывать
3348,лплаӈкве,обмануть
3349,намталаӈкве,дразнить
3350,намтуӈкве,дать имя
3351,нильтaлаӈкве,натирать
3352,нильтуӈкве,просить очистить  что-либо
3353,рапсюӈкве,мигать
3354,рапсясаӈкве ,"мигнуть, моргнуть"
3355,тумсюӈкве,плескаться (например из бочки)
3356,тумсясаӈкве,плеснуть (о воде из ведра)
3357,хосгуӈкве,качать
3358,хосгалтаӈкве,вдруг начать качать
3359,сорнюӈкве,вздрaгивать
3360,ӯргаллуӈкве,"оберегать иногда, защищать иногда"
3361,от ӯргалаӈкве,"оберегать, защищать"
3362,титыгллуӈкве,спрашивать иногда
3363,титыглаӈкве,спрaшивать
3364,рталлуӈкве,пробовать иногда
3365,рталаӈкве,пробовать
3366,пēламллуӈкве,зажигаться иногда
3367,пēламлаӈкве,"зажечься, разгораться"
3368,лыглаӈкве,бывать много раз
3369,лятгыглаӈкве,издавать звуки треска
3370,лятгуӈкве,трещать (вообще)
3371,нглыглаӈкве,показываться (иногда)
3372,сунсыглӈкве,"рассматривать, разглядывать (внимательно)"
3373,войллуӈкве,брать иногда
3374,воюӈкве,взять
3375,нглаллуӈкве,показываться иногда
3376,ӯнтталлуӈкве,сажать  что-либо иногда
3377,осьмарллыгаӈкве,хитрить иногда
3378,сартыгллуӈкве,мазать иногда
3379,сартыглаӈкве,намазать на время
3380,внталлуӈкве,кочевать с места на место
3381,внтлаӈкве,кочевать
3382,лēӈталахтуӈкве,тыкаться при движении тудасюда
3383,от лēӈтхатуӈкве,ткнуться  куда-либо
3384,сынгатлуӈкве,обнимать таксяк
3385,тыламлнтуӈкве,перелетать с места на место
3386,от тыламлаӈкве,полететь
3387,влмлантаӈкве,быстро начать много раз
3388,влматуӈкве,быстро начать  что-либо
3389,влматантаӈкве,часто быстро начинать  что-либо
3390,хӯтылтахтуӈкве,наклониться один раз
3391,но хӯталтахтыглаӈкве,изгибаться
3392,ломыртахтыглаӈкве,сморщиться
3393,но ломартахтыглаӈкве,гримасничать
3394,но ныгтлуӈкве,"ударять, стукать  что-либо, кого-либо"
3395,войлантаӈкве,брать многие предметы один за другим
3396,майлантаӈкве,раздавать многие предметы один за другим
3397,ялаплыглаӈкве,многократно быстро ходить  куда-либо на время
3398,хйтгаллыглаӈкве,многократно разбегаться и возвращаться
3399,висинтлуӈкве,брать иногда
3400,висинтаӈкве,брать иногда
3401,мисинтлуӈкве,давать иногда
3402,мисинтаӈкве,давать иногда
3403,всинтлуӈкве,видеть иногда
3404,всинтаӈкве,видеть один раз
3405,от вӈкве,знать
3406,от маюӈкве,дать  что-либо кому-либо
3407,уртгалаӈкве,раздавать
3408,от уртуӈкве,раздать
3409,от рагатаӈкве,упасть неожиданно
3410,лантаӈкве,тихо спокойно пожить
3411,но ялантаӈкве,ходить  куда-либо неоднократно
3412,но ёхталаӈкве,прийти на время
3413,ханьсювлаӈкве,научиться делать  что-либо
3414,рӈхувлаӈкве,крикнуть
3415,янмалтлуӈкве,вырастить на время
3416,оньсигллуӈкве,иметь  что-либо (иногда)
3417,оньсиглаӈкве,иметь (один раз)
3418,спитлыглаӈкве,"поправлять, исправлять (иногда)"
3419,спитлуӈкве,исправлять на время
3420,тумайтаӈкве,"размышлять, думать"
3421,акитировайтаӈкве,агитировать
3422,мопилисовайтаӈкве,мобилизовать
3423,ресайтаӈкве,решать (задачу)
3424,пастовайтаӈкве,бастовать
3425,петьсятайтаӈкве,печатать
3426,истройтаӈкве,строить
3427,ресытаӈкве,решиться на какое-либо дело
3428,халмуӈкве,посориться
3429,свмуӈкве,"размножаться, увеличиться"
3430,св,много
3431,сой,спокойный
3432,мньмуӈкве,уменьшится
3433,хӯнтмуӈкве,одеть котомку
3434,от хӯнт,котомка
3435,нуртуӈкве,враждовать
3436,нур,вражда
3437,хтаӈкве,смолить
3438,от х,смола
3439,онтыстаӈкве,помочь
3440,порхайтаӈкве,занести позёмкой
3441,порхай,позёмка (снежный)
3442,кттаӈкве,присвоить
3443,росилтаӈкве,задержать на какоето время
3444,росил,мгновение
3445,сёрхилтаӈкве,делать зарубки
3446,сёрхил,зарубка
3447,смтаӈкве,делать углы
3448,нраптаӈкве,закрыть двери специальной тонкой палкой из прочной древесины
3449,нрап,тонкая палка из прочной древесины для запирать двери или выколачивать меховую одежду
3450,нр,скелет
3451,арыгтаӈкве,освободиться после какихлибо занятий
3452,арыг,лишний
3453,онтуптаӈкве,оказать помощь
3454,гумлаӈкве,болеть
3455,гум,болезнь
3456,мрмлаӈкве,собраться складками
3457,мрум,складка
3458,выӈкыльлаӈкве,"спуститься, сморщиться (об обуви или чулках)"
3459,всылаӈкве,вывариваться на cлабом огне
3460,всы,разварившаяся масса
3461,тврилаӈкве,"раскрошиться, развалиться"
3462,тври,крошки
3463,траслаӈкве,измерять  что-либо пядью
3464,от трас,пядь
3465,алысьлаӈкве,"добывать  что-либо, промышлять"
3466,от алысь,"орудие лова, орудие промысла"
3467,хорамлаӈкве,украсить  что-либо
3468,тыньсяӈлаӈкве,арканить
3469,тыньсяӈ,аркан
3470,рēгылттаӈкве,нагреть (помещение)
3471,рēг,"жара, тепло"
3472,лумылттаӈкве,сильно затопить огонь
3473,лум,жара в топке в виде угля
3474,самылттаӈкве,заметить
3475,сёлатаӈкве,вдруг начать быть бодрым
3476,сёл,"сила, мощь, бодрость"
3477,сēлтумтаӈкве,"вдруг, неожиданно кинуть"
3478,селт,"плоскокруглый предмет, который бросают при соревнованиях"
3479,нēлмаяӈке,легко и без труда выманить  что-либо
3480,сюнятаӈкве,вдруг разбогатеть
3481,сюнь,богатство
3482,туимтаӈкве,ждать лета
3483,от туи,"летом, летний"
3484,таквсымтaӈкве,ждать осени
3485,тлымтаӈкве,ждать зимы
3486,тӯямтаӈкве,"ждать весны, весной"
3487,тӯя,весна
3488,аняктаӈкве,навалить в кучу  что-либо (в большом множестве)
3489,аня,куча чего-либо
3490,лӈхаяӈкве ,"отправляться в дорогу, находиться в пути"
3491,враяӈкве,охотиться
3492,намаяӈкве,посвящать
3493,суясяӈкве,шуметь слегка
3494,вгасяӈкве,с большим трудом достаться
3495,Тоӈхыӈ ӯй тоӈханл нас та лятгантанэтēнл,"Кoпытные звери, их копыта просто (приятно, красиво) пощелкивают (при беге)"
3496,Нёвтысāлы64 хӯрум ги ӯлыӈыг та хйтыквет …,"Три моих оленясамочки молодые (милые, любимые) весело бегут и я о них пою"
3497,Слыг олн ёмас туляквел манрыг пēнтхатыгламтемēн?!,Серебряными чудными колечками (к сожалению) зачем же мы обменивались?
3498,«Мӯй мхум ёл ӯнттэтēн»,"Хозяйка дома сказала своей дочке: «Попроси, пожалуйста, гостей сесть»"
3499,…Ам рēгтем холыгпан юиплт с аквтох ёралахтэрисьн,"После того, как кончится моя помощь, ты (ничтожный, беспомощный) попробуй так же важничать (в достатке жить)"
3500,рохтуӈкве,испугаться
3501,хоттcуӈкве,высохнуть
3502,хотнуюмтахтуӈкве,побледнеть (от испугa)
3503,нуюмтахтуӈкве,"вдруг сняться, сойти (о цвете лица)"
3504,хотнглуӈкве,вывихнуться
3505,хотныгтаӈкве,выбить ударом
3506,хотхассумтаӈкве,"сорвать (например, платок)"
3507,хотсаюӈкве,сгнить
3508,хоткантмуӈкве,рассердиться по причине
3509,лапхарыглаӈкве,потушить
3510,лаппантуӈкве,закрыть
3511,лаппасталаӈкве,сплошь продырявить
3512,пасталаӈкве,делать отверстия
3513,лаппхвтуӈкве,"забросать  что-либо, чем-либо"
3514,пхвтуӈкве,бросать
3515,лапплюӈкве,целиком замёрзнуть
3516,лаппусмуӈкве,зажить (о ране)
3517,лаптӯюӈкве,занести снегом
3518,тӯюӈкве,идти (о снеге)
3519,лапрамуӈкве,закопать
3520,диалектный вариант) восходит к наречному слову лн,далеко
3521,лпатуӈкве,уйти далеко вперёд
3522,лӯнлуӈкве,продолжать сидеть
3523,лпувтмахтуӈкве,оттолкнуться
3524,пувтмахтуӈкве,толкнуться
3525,лнглуӈкве,"победить, оказаться впереди всех"
3526,ллаквасаӈкве,отодвинуться
3527,лаквасаӈкве,двинуться
3528,лрӈхувлаӈкве,неожиданно крикнуть
3529,ёлллюӈкве,"остановиться, перестать идти (ехать)"
3530,ллюӈкве,стоять
3531,ёллаквылтаxтуӈкве,"беспомощно сесть, сползти вниз"
3532,лаквылтахтуӈкве,"беспомощно сесть, упасть"
3533,ёлюнумтаӈкве,заснуть (неожиданно)
3534,юнутмаӈкве,заснуть
3535,исуӈкве,"сесть (о крылатом предмете, существе)"
3536,ёлпнтылтахтуӈкве,плавно приземляться (на землю)
3537,пнтылтахтуӈкве,приземляться (на землю)
3538,ёлпаттуӈкве,"уронить, свалить (на землю)"
3539,от паттуӈкве,"потерять, уронить"
3540,ёллаквтуӈкве,спустить
3541,от лаквтуӈкве,двигать
3542,ёлпувтмахтуӈкве,спрыгнуть
3543,от пувтмахтуӈкве,оттолкнуться от куда-либо
3544,ёлсялтуӈкве,"провалиться  куда-либо (например, в лёд, в снег)"
3545,ёлсграпаӈкве,срубить
3546,ёлротмуӈкве,"успокоиться, притихнуть"
3547,ёлӯнтуӈкве,сесть
3548,ёлпатуӈкве,упасть [вниз]
3549,нхквлуӈкве,подняться после сна
3550,от квлуӈкве,подняться
3551,нхӯнтуӈкве,сесть с лежачего положения
3552,нххӈхуӈкве,залезть на  что-либо (высокое)
3553,нхтыламлаӈкве,улететь с земли
3554,тыламлаӈкве ,улететь
3555,нхквлттуӈкве,"разбудить, поднять ребёнка с постели"
3556,нхянмалтаӈкве,вырастить
3557,нххораяӈкве,"вдруг, неожиданно вспыхнуть (об огне)"
3558,хораяӈкве,зажечься быстро
3559,нхрохтуӈкве,"вдруг, неожиданно проснуться"
3560,нхтагатаӈкве,повесить
3561,нххулиглаӈкве,всплыть на поверхность
3562,хулиглаӈкве,всплыть на поверхность
3563,нхлмуӈкве,поднять  что-либо
3564,нхсйкалаӈкве,"проснуться, очнуться"
3565,нхёхтуӈкве,"дойти до высшей точки, дойти до верха чего-либо"
3566,наречия юв,внутрь
3567,ювсялтуӈкве,войти во  что-либо
3568,ювёхтуӈкве,"вернуться домой, в свои родные места"
3569,ювнгуӈкве,завязать по короче
3570,ювпуруӈкве,обгрызая съесть
3571,ювртуӈкве,вколачивать вылезшее
3572,ювтӈкве,съесть
3573,ювтӯйтхатуӈкве,заниматься домоседством
3574,от тӯйтхатуӈкве,спрятаться
3575,ювӯруӈкве,"экономить, беречь"
3576,от ӯруӈкве,"ждать, охранять"
3577,юввртхатуӈкве,"упираться, сопротивляться идти"
3578,вртхатуӈкве,упереться
3579,кон восходит к наречному слову кон,на улицу
3580,конхартыглаӈкве,вытаскивать
3581,хартыглаӈкве,растягивать
3582,конлыӈкве,выкинуть
3583,от лыӈкве,бросать
3584,конлоньхатаӈкве,"вывалиться (например, из мешка)"
3585,лоньхатаӈкве,развалиться
3586,коннгылттаӈкве,высунуть  что-либо изнутри
3587,коннвлуӈкве,выгнать
3588,нвлуӈкве,"гнать, догонять кого-либо"
3589,коннёруӈкве,выползти
3590,нёруӈкве,ползти
3591,ссуӈкве,лить
3592,контыламлаӈкве,"вылететь, летая, оказаться на улице"
3593,конпхвтуӈкве,"выбрасывать, бросать на улицу"
3594,кональвӈкуӈкве,выползать
3595,кональсунсуӈкве,смотреть в наружную сторону
3596,от сунсуӈкве,смотреть
3597,ювлелвуӈкве,"огрызнуться, не подчиняться"
3598,ювлехӯйтуӈкве,"быть печальным, быть грустным (страдая о прошлом)"
3599,хӯйтуӈкве,"грустить, печалиться"
3600,ювленомсаӈкве,"думать (о доме, о родных)"
3601,номсаӈкве,"думать, размышлять"
3602,ювлехтаӈкве,"возвращать (например, долг), повернуть обратно (например, нарту)"
3603,хтаӈкве,выворачивать
3604,ювле ӈкватаӈкве,взглянуть назад
3605,от ӈкватаӈкве,взглянуть
3606,ювле сунсуӈкве,смотреть вовнутрь
3607,нӈхальпатуӈкве,"очнуться (после сна, после обморока)"
3608,нӈхальтрстахтуӈкве,начать выздоравливать после тяжелой болезни
3609,трстахтуӈкве,"распуститься, обвиснуть"
3610,нӈхальхӯнтлaӈкве,с постели прислушиваться к бодрствующим
3611,хӯнтлаӈкве,слушать
3612,нӈхальпēламлаӈкве,сверкать (от красоты)
3613,от пēламлаӈкве,загореть
3614,ёлальпатуӈкве,умереть
3615,ёлальтрстахтуӈкве,обвисать вниз
3616,лальсӈкамлаӈкве,начать жить разумно
3617,сӈкамлаӈкве,очнуться
3618,лальтрстахтуӈкве,немножко поправиться
3619,от трстахтуӈкве,"срастись, восстановиться (о поломанных костях)"
3620,юилёхтуӈкве,догнать
3621,  ёхтуӈкве,прийти
3622,сямарагатаӈкве,вдруг умереть (например от испуга)
3623,от сяма,насмерть
3624,рагатаӈкве,упасть
3625,хомипинуӈкве,положить  что-либо вверх дном или кого-либо вниз лицом
3626,  пинуӈкве,положить
3627,морипотыртаӈкве,бредить
3628,от мори,как попало
3629,  потыртаӈкве,говорить
3630,нлувплтуӈкве,"сжечь на костре, бросить в огонь"
3631,  плтуӈкве,разводить огонь
3632,нлувтагатаӈкве,"повесить над огнём (например, чайник)"
3633,нлуввглуӈкве,"приехать, прийти с чума"
3634,пгтсуӈкве,при убыли воды оказаться на суше
3635,  тсуӈкве,"убывать, сохнуть (о жидкости)"
3636,хоттальсялтуӈкве,умереть
3637,от хотталь,куданибудь
3638,  сялтуӈкве,войти
3639,трапаттуӈкве,выяснить  что-либо
3640,послелог,на
3641,  паттуӈкве,уронить
3642,тармылпатуӈкве,защищать виноватого (например малыша)
3643,  патуӈкве,упасть
3644,сысыпаттуӈкве,"прогнать, одолеть"
3645,сыс,спина
3646,паттуӈкве,уронить
3647,сысыхартуӈкве,не соглашаться
3648,  хартуӈкве,тянуть
3649,сохтыллуӈкве,"жить неведомо, в стороне от событий"
3650,сохтыл,прямо
3651,сохт,"прямой, прямота"
3652,луӈкве,жить
3653,супыгсглуӈкве,переломить
3654,"""суп",отдельная от целого часть
3655,сглуӈкве,согнуть
3656,плыгпокматуӈкве,расколоться
3657,плыг,настежь
3658,пл,продольная половина
3659,покматуӈкве,"треснуть, дать трещину"
3660,плыгпӯнсуӈкве,раскрыть
3661,пӯнсуӈкве,открыть
3662,лккваквлапаӈкве,разбежаться
3663,лакква,в разные стороны
3664,лкв,"круг, кольцо"
3665,квлапаӈкве,соскочить
3666,рылворатаӈкве,насильно напроситься
3667,р,сила
3668,воратаӈкве,"проситься, зваться"
3669,оснпаттуӈкве,разоблачить виновного
3670,осн,на поверхность
3671,ос,поверхность
3672,пхынпаттуӈкве,уволить
3673,пх,бок
3674,пхынрагатаӈкве,отлететь
3675,остлуӈкве,"не спать, быть на поверхности"
3676,ост,на поверхности
3677,  луӈкве,быть
3678,"""тыг ёхтыс",он пришёл сюда
3679,тыгрӈхувлаӈкве,позвать
3680,тыгтратаӈкве,подпустить (близко)
3681,тыгмантаӈкве,подойти сюда
3682,мантаӈкве,беспорядочно ходить
3683,тувтсувъяӈкве,"неожиданно принять растерянный, испуганный вид"
3684,тсувлаӈкве,быстро высохнуть
3685,тувпувуӈкве,"удерживать, не разрешать делать  что-либо"
3686,от пувуӈкве,держать
3687,тувплюӈкве,замёрзнуть
3688,тувртуӈкве,"на свое место прибить, закрепить"
3689,от ртуӈкве,бить
3690,тувтуюӈкве,заставлять молчать
3691,от туюӈкве,толкать
3692,тувпēруӈкве,забинтовать  что-либо
3693,от пēруӈкве,"мотать, крутить  что-либо"
